max_wait_seconds,n_replications,avg_quote,expected_conversion_rate,simulated_conversion_rate,shared_rate_given_conversion,avg_wait_time,revenue,cost,profit,profit_per_request,profit_per_converted_rider,matched_pairs,BASE_PRICE,EMPTY_QUEUE_BUMP,MAX_CANDIDATES,BASE_MIN_SAVING_RATIO,BASE_MIN_ABSOLUTE_SAVING,LARGE_QUEUE_THRESHOLD,,Profit(value),value_flag
120,1,0.680804377,0.372944659,0.376399729,0.716700473,48.00721208,10345.82458,8857.104642,1488.719942,0.126291139,0.33552399,1590,0.7,0,10,0.1,0.35,8,,1488.719942,FALSE
15,1,0.686253648,0.362674443,0.366304717,0.278832793,11.7929597,10044.80299,9384.491039,660.3119534,0.056015605,0.152920786,602,0.7,0,10,0.12,0.22,6,,660.3119534,FALSE
60,1,0.681089413,0.372082407,0.374533424,0.584824462,31.86160815,10197.35476,8905.794691,1291.560067,0.109565666,0.292539087,1291,0.7,0,10,0.12,0.22,6,,1291.560067,FALSE
120,1,0.680373091,0.373717649,0.377078385,0.705961755,49.22092238,10341.48661,8798.013204,1543.473409,0.130935987,0.347238112,1569,0.7,0,10,0.12,0.22,6,,1543.473409,FALSE
15,1,0.686251272,0.362679082,0.366304717,0.277443261,11.80824456,10044.80299,9386.28402,658.5189722,0.055863503,0.152505552,599,0.7,0,10,0.12,0.22,8,,658.5189722,FALSE
60,1,0.680904309,0.372514492,0.375296912,0.578209765,32.20547016,10215.84374,8916.233807,1299.60993,0.110248552,0.293763547,1279,0.7,0,10,0.12,0.22,8,,1299.60993,FALSE
120,1,0.680226332,0.374137444,0.377078385,0.702812148,49.5511811,10352.49841,8805.668816,1546.829598,0.131220699,0.34799316,1562,0.7,0,10,0.12,0.22,8,,1546.829598,FALSE
15,1,0.686253648,0.362674443,0.366304717,0.278832793,11.7929597,10044.80299,9384.491039,660.3119534,0.056015605,0.152920786,602,0.7,0,10,0.12,0.28,6,,660.3119534,FALSE
60,1,0.681089413,0.372082407,0.374533424,0.584824462,31.86160815,10197.35476,8905.794691,1291.560067,0.109565666,0.292539087,1291,0.7,0,10,0.12,0.28,6,,1291.560067,FALSE
120,1,0.680373091,0.373717649,0.377078385,0.705961755,49.22092238,10341.48661,8798.013204,1543.473409,0.130935987,0.347238112,1569,0.7,0,10,0.12,0.28,6,,1543.473409,FALSE
15,1,0.686251272,0.362679082,0.366304717,0.277443261,11.80824456,10044.80299,9386.28402,658.5189722,0.055863503,0.152505552,599,0.7,0,10,0.12,0.28,8,,658.5189722,FALSE
60,1,0.680902782,0.372507779,0.375296912,0.577757685,32.22423146,10215.84374,8916.416878,1299.426859,0.110233022,0.293722165,1278,0.7,0,10,0.12,0.28,8,,1299.426859,FALSE
120,1,0.680211232,0.374122469,0.377332881,0.702338129,49.5982464,10360.40832,8813.396726,1547.011592,0.131236138,0.347799369,1562,0.7,0,10,0.12,0.28,8,,1547.011592,FALSE
15,1,0.686253308,0.362658697,0.366219885,0.277507528,11.80681028,10036.89252,9377.925292,658.9672286,0.055901529,0.152644714,599,0.7,0,10,0.12,0.35,6,,658.9672286,FALSE
60,1,0.681069902,0.3721539,0.374703088,0.583201268,31.92506226,10202.48071,8910.473599,1292.007113,0.109603589,0.292507836,1288,0.7,0,10,0.12,0.35,6,,1292.007113,FALSE
120,1,0.680316084,0.373889131,0.377672209,0.703054807,49.4925876,10364.72781,8817.111274,1547.616538,0.131287457,0.347622762,1565,0.7,0,10,0.12,0.35,6,,1547.616538,FALSE
15,1,0.686250933,0.362663336,0.366219885,0.276117674,11.82209868,10036.89252,9379.718273,657.1742474,0.055749427,0.152229383,596,0.7,0,10,0.12,0.35,8,,657.1742474,FALSE
60,1,0.68089396,0.372565946,0.375381744,0.576271186,32.28587571,10219.88323,8919.391761,1300.491472,0.110323335,0.293896378,1275,0.7,0,10,0.12,0.35,8,,1300.491472,FALSE
120,1,0.680160842,0.37430386,0.377841873,0.700044903,49.83004041,10381.70378,8830.911635,1550.792148,0.13155685,0.348179647,1559,0.7,0,10,0.12,0.35,8,,1550.792148,FALSE
15,1,0.686617917,0.361966493,0.365032236,0.327678364,11.21914943,9996.234211,9334.290025,661.94,0.056154071,0.153833183,705,0.7,0,12,0.08,0.22,6,,661.9441861,FALSE
60,1,0.682181032,0.369675195,0.371479471,0.623886732,29.73121717,10142.89536,8918.111897,1224.783458,0.10390087,0.279694784,1366,0.7,0,12,0.08,0.22,6,,1224.783458,FALSE
120,1,0.681609773,0.371281016,0.374278928,0.742520399,45.05281052,10264.80843,8825.644163,1439.16427,0.12208723,0.326193171,1638,0.7,0,12,0.08,0.22,6,,1439.16427,FALSE
15,1,0.686609264,0.361981509,0.365032236,0.32674878,11.22960725,9996.225406,9335.091906,661.1335006,0.056085299,0.153644783,703,0.7,0,12,0.08,0.22,8,,661.1335006,FALSE
60,1,0.682014591,0.370055628,0.372073295,0.61377109,30.22047424,10164.14238,8933.334337,1230.808039,0.104411948,0.280621988,1346,0.7,0,12,0.08,0.22,8,,1230.808039,FALSE
